building_id,event_id,sample_type,qc_status,errors
TN_GAJA_2018_010198,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_016678,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_000002,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_000012,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_006253,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_010207,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_016694,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_033171,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_033263,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_046657,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_054451,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_063630,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_000036,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_006249,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_006275,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_010267,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_016682,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_033172,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_034312,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_046651,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_054448,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_063626,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_001090,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_001108,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_006768,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_011206,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_017089,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_034718,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_034825,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_047535,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_054767,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_064267,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_001099,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_001117,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_006770,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_011221,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_017081,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_023237,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_034739,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_047538,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_054784,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_064286,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_002181,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_002178,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_007817,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_012085,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_019849,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_036107,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_048490,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_048485,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_055297,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_065044,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_002210,TN_GAJA_2018,SAR_ONLY,PASS,none
TN_GAJA_2018_002198,TN_GAJA_2018,SAR_ONLY,PASS,none
